lat,lon,prob201107,prob201108
1.095833,100.6476,101,101
1.0625,100.6465,89,90
1.054167,100.6462,88,88
1.045833,100.6459,95,95
1.0375,100.6457,97,97
1.029167,100.6454,103,103
1.020833,100.6451,103,103
1.0125,100.6449,103,103
1.004167,100.6446,99,99
.9958333,100.6444,103,103
.9875,100.6441,103,103
.9791667,100.6439,103,103
.9708334,100.6436,103,103
.9625,100.6434,99,99
.9541667,100.6431,96,96
.9458333,100.6429,99,99
.9375,100.6426,84,84
.9291667,100.6424,103,103
.9208333,100.6422,53,53
.9125,100.6419,103,103
.9041666,100.6417,103,103
.8958333,100.6415,101,101
.8875,100.6412,101,101
.7958333,100.6389,101,101
.7875,100.6387,101,101
.7791666,100.6385,101,101
.7708333,100.6383,101,101
.7625,100.6381,101,101
.7541667,100.6379,101,101
.7458333,100.6377,50,51
.7375,100.6375,101,101
.7291667,100.6373,101,50
.7208334,100.6371,101,101
.7125,100.6369,101,101
.7041667,100.6368,101,101
.6958333,100.6366,101,101
.6875,100.6364,54,56
.6791667,100.6362,101,101
.6708333,100.6361,101,101
.6625,100.6359,101,101
.6541666,100.6357,103,103
.6458333,100.6356,103,103
.6375,100.6354,103,103
.6291667,100.6352,103,103
.6208333,100.6351,103,103
.5708333,100.6342,101,101
.5625,100.634,101,101
.5208333,100.6333,73,73
.5125,100.6332,103,103
.5041667,100.6331,52,52
.4958333,100.6329,101,101
.4875,100.6328,101,101
.4791667,100.6327,101,101
.4708333,100.6326,101,101
.4625,100.6324,101,101
.4541667,100.6323,101,101
.3458333,100.631,103,103
.3291667,100.6308,101,101
.3041667,100.6306,68,68
.2958333,100.6305,75,75
.2875,100.6304,101,101
.2791667,100.6304,101,101
.2708333,100.6303,101,101
.2625,100.6302,101,101
.2541667,100.6302,101,101
.2458333,100.6301,101,101
.2375,100.63,101,101
.2291667,100.63,101,101
.2208333,100.6299,101,101
.2125,100.6299,101,101
.2041667,100.6298,101,101
.1875,100.6297,101,101
.1791667,100.6297,101,101
.1708333,100.6296,101,101
.0958333,100.6293,101,101
.0875,100.6293,101,101
.0791667,100.6293,101,101
.0708333,100.6292,101,101
.0625,100.6292,101,101
.0541667,100.6292,101,101
.0458333,100.6292,101,101
.0375,100.6292,101,101
.0291667,100.6292,101,101
.0208333,100.6292,101,101
.0125,100.6292,101,101
.0041667,100.6292,101,101
1.6625,100.6799,101,101
1.654167,100.6795,101,101
1.645833,100.679,101,101
