lat,lon,period
21.55417,100.2119,254
22.6625,101.0206,254
21.55417,100.2298,254
21.4625,100.1846,254
21.5125,100.228,50
21.5125,100.2369,58
21.50417,100.2401,51
21.4625,100.2114,254
22.6125,101.038,55
21.47083,100.2261,254
21.45417,100.2147,254
22.35417,100.8586,254
21.45417,100.2236,254
21.44583,100.2179,254
21.5125,100.2996,254
21.5625,100.3431,254
21.52083,100.3233,254
21.49583,100.306,254
22.5125,101.0369,254
21.49583,100.315,254
22.4125,100.973,254
23.47917,101.7811,50
22.5375,101.0823,254
23.7375,102.0001,254
22.12083,100.7898,254
22.10417,100.7869,254
22.04583,100.7633,254
22.3375,100.9817,254
22.02083,100.7634,254
23.67083,102.0208,254
23.6625,102.0234,254
21.90417,100.7346,254
21.72083,100.6057,254
21.72917,100.6205,254
21.72083,100.6236,254
21.7125,100.6178,254
21.7125,100.6268,254
21.70417,100.621,254
22.17083,100.9696,254
22.17083,100.9786,254
21.55417,100.5524,254
22.19583,101.0145,254
21.87917,100.8068,254
21.5625,100.5851,254
